Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,min_A,min_B,min_AB,min_AminusB,TrialInBlock
P2,28,C7,c3,AR,1R1V,0,3,1112.4192835833107,1258.9264794864994,1185.6728815349052,-146.50719590318863,3
P2,28,S2,c3,AR,1R1V,0,3,581.6726660165318,902.5680451722295,742.1203555943807,-320.8953791556977,3
P2,29,C7,c9,AR,0R2V,2,9,1124.2951381877613,1400.4999881649608,1262.397563176361,-276.2048499771995,1
P2,29,S2,c9,AR,0R2V,2,9,684.6699656489125,1054.9017520304878,869.7858588397002,-370.2317863815754,1
P2,30,C7,c9,AR,0R2V,2,9,1208.5406088944324,1296.9966863025254,1252.7686475984788,-88.45607740809305,2
P2,30,S2,c9,AR,0R2V,2,9,762.6907329851681,951.3874760527958,857.039104518982,-188.69674306762772,2
P2,31,C7,c9,AR,0R2V,2,9,1158.9874687492438,1327.5230221689455,1243.2552454590946,-168.53555341970173,3
P2,31,S2,c9,AR,0R2V,2,9,526.3856253537879,970.5118484834695,748.4487369186287,-444.12622312968165,3
P2,32,C7,c5,AR,0R2V,0,5,1113.218989772082,1341.621225553198,1227.42010766264,-228.4022357811159,1
P2,32,S2,c5,AR,0R2V,0,5,672.9097096895146,941.7902991692832,807.350004429399,-268.8805894797687,1
P2,33,C7,c5,AR,0R2V,0,5,1110.2102127325047,1240.103304684709,1175.156758708607,-129.89309195220426,2
P2,33,S2,c5,AR,0R2V,0,5,631.1117532519437,862.7879710148934,746.9498621334185,-231.6762177629497,2
P2,34,C7,c5,AR,0R2V,0,5,1154.2248578411927,1224.9357425497062,1189.5803001954496,-70.7108847085135,3
P2,34,S2,c5,AR,0R2V,0,5,531.4282200657791,863.6361391677159,697.5321796167475,-332.2079191019368,3
P2,35,C7,c7,AR,2R0V,1,7,1196.890143208998,1306.482185138163,1251.6861641735804,-109.5920419291649,1
P2,35,S2,c7,AR,2R0V,1,7,809.8779670352425,654.9961939568306,732.4370804960365,154.88177307841192,1
P2,36,C7,c7,AR,2R0V,1,7,1214.2789054609493,1237.2196656330025,1225.749285546976,-22.94076017205316,2
P2,36,S2,c7,AR,2R0V,1,7,770.4318603289274,880.9612270615366,825.6965436952321,-110.52936673260922,2
P2,37,C7,c7,AR,2R0V,1,7,1144.6631846166788,1300.9857150833548,1222.8244498500167,-156.32253046667597,3
P2,37,S2,c7,AR,2R0V,1,7,532.2210517115135,1001.5955322575288,766.9082919845212,-469.3744805460153,3
P2,38,C7,c8,AR,1R1V,1,8,1127.5479404836244,1310.3547871960018,1218.951363839813,-182.80684671237736,1
P2,38,S2,c8,AR,1R1V,1,8,671.1767043745052,1015.7350797308997,843.4558920527024,-344.55837535639444,1
P2,39,C7,c8,AR,1R1V,1,8,1123.36237610432,1315.7744678806216,1219.5684219924708,-192.41209177630162,2
P2,39,S2,c8,AR,1R1V,1,8,660.6708912027374,1004.8972723052759,832.7840817540066,-344.22638110253854,2
P2,40,C7,c8,AR,1R1V,1,8,1134.221817691037,1335.6903300873835,1234.95607388921,-201.46851239634657,3
P2,40,S2,c8,AR,1R1V,1,8,700.0572982597771,1007.8901287170044,853.9737134883908,-307.83283045722726,3
P3,2,C7,c7,AR,2R0V,1,7,1081.7046210794551,1276.7204197492601,1179.2125204143576,-195.015798669805,1
P3,2,S2,c7,AR,2R0V,1,7,674.3148997077092,934.8054253035212,804.5601625056152,-260.4905255958121,1
P3,3,C7,c7,AR,2R0V,1,7,1115.4792706518174,1234.8707977001334,1175.1750341759753,-119.391527048316,2
P3,3,S2,c7,AR,2R0V,1,7,691.9849842277697,890.8531942595322,791.4190892436509,-198.8682100317625,2
P3,4,C7,c7,AR,2R0V,1,7,1099.0978703841804,1248.2011045975087,1173.6494874908444,-149.10323421332828,3
P3,4,S2,c7,AR,2R0V,1,7,688.4801143803558,928.7829057300487,808.6315100552022,-240.30279134969294,3
P3,5,C7,c8,AR,1R1V,1,8,1080.135967295228,1251.1203411993235,1165.6281542472757,-170.9843739040955,1
P3,5,S2,c8,AR,1R1V,1,8,681.5243110797053,895.6900761454491,788.6071936125772,-214.1657650657438,1
P3,6,C7,c8,AR,1R1V,1,8,1131.0011557057303,1202.665593951289,1166.8333748285097,-71.66443824555881,2
P3,6,S2,c8,AR,1R1V,1,8,723.2591279407213,853.4467061051932,788.3529170229573,-130.18757816447192,2
P3,7,C7,c8,AR,1R1V,1,8,1082.173661249465,1256.9237906915976,1169.5487259705315,-174.75012944213245,3
P3,7,S2,c8,AR,1R1V,1,8,666.7759103211055,939.4558098944445,803.115860107775,-272.67989957333907,3
P3,8,C7,c5,AR,0R2V,0,5,1087.7209309980217,1271.6516794042427,1179.6863052011322,-183.93074840622103,1
P3,8,S2,c5,AR,0R2V,0,5,682.654289713622,942.2818878159677,812.4680887647949,-259.6275981023457,1
P3,9,C7,c5,AR,0R2V,0,5,1120.7111550601505,1236.349156979613,1178.5301560198818,-115.63800191946257,2
P3,9,S2,c5,AR,0R2V,0,5,548.6297130604481,954.0174564217106,751.3235847410793,-405.38774336126244,2
P3,10,C7,c5,AR,0R2V,0,5,1056.8832031490774,1258.922189440085,1157.9026962945813,-202.03898629100763,3
P3,10,S2,c5,AR,0R2V,0,5,645.3563583591605,911.8584890581611,778.6074237086608,-266.50213069900065,3
P3,11,C7,c1,AR,0R2V,1,1,1078.1576848177863,1268.347267988529,1173.2524764031577,-190.1895831707427,1
P3,11,S2,c1,AR,0R2V,1,1,674.2905168243939,920.6007219038227,797.4456193641083,-246.31020507942878,1
P3,12,C7,c1,AR,0R2V,1,1,1099.0112403098049,1214.598344612497,1156.804792461151,-115.58710430269207,2
P3,12,S2,c1,AR,0R2V,1,1,671.1360400400982,880.0665336223296,775.6012868312139,-208.9304935822314,2
P3,13,C7,c1,AR,0R2V,1,1,1103.824630666117,1256.1934482835597,1180.0090394748383,-152.3688176174428,3
P3,13,S2,c1,AR,0R2V,1,1,698.9362834599012,924.6743081850115,811.8052958224564,-225.73802472511022,3
P3,14,C7,c12,VR,0R2V,1,12,1101.0125226247965,1261.0052228526272,1181.008872738712,-159.9927002278307,1
P3,14,S2,c12,VR,0R2V,1,12,692.0031718797836,946.4167341680492,819.2099530239163,-254.41356228826555,1
P3,15,C7,c12,VR,0R2V,1,12,1165.2467347325562,1256.5778454082379,1210.912290070397,-91.33111067568166,2
P3,15,S2,c12,VR,0R2V,1,12,785.1701007132006,921.5710679169633,853.3705843150819,-136.40096720376278,2
P3,16,C7,c12,VR,0R2V,1,12,1123.5311880062814,1383.001393456083,1253.2662907311822,-259.4702054498016,3
P3,16,S2,c12,VR,0R2V,1,12,743.306053610422,1077.303734076692,910.304893843557,-333.99768046627,3
P3,17,C7,c10,VR,0R2V,2,10,1112.5036298729678,1299.4786426611547,1205.9911362670614,-186.97501278818686,1
P3,17,S2,c10,VR,0R2V,2,10,734.9846452480668,980.0967677328791,857.540706490473,-245.1121224848123,1
P3,18,C7,c10,VR,0R2V,2,10,1132.094259882134,1196.067059372138,1164.080659627136,-63.97279949000381,2
P3,18,S2,c10,VR,0R2V,2,10,561.3504738479502,931.1221885334802,746.2363311907152,-369.77171468553,2
P3,19,C7,c10,VR,0R2V,2,10,1102.6210025187647,1331.269617429541,1216.945309974153,-228.64861491077636,3
P3,19,S2,c10,VR,0R2V,2,10,716.4285654442334,1009.3419576497168,862.8852615469751,-292.91339220548343,3
P3,20,C7,c11,VR,0R2V,0,11,1075.2021792619382,1319.1314502422163,1197.1668147520772,-243.92927098027803,1
P3,20,S2,c11,VR,0R2V,0,11,650.1713492058544,987.4388887601967,818.8051189830255,-337.2675395543423,1
P3,21,C7,c11,VR,0R2V,0,11,1139.7612366083217,1201.6275452952932,1170.6943909518075,-61.86630868697148,2
P3,21,S2,c11,VR,0R2V,0,11,737.6904360818414,887.6836110612846,812.687023571563,-149.9931749794432,2
P3,22,C7,c11,VR,0R2V,0,11,1077.1667645444638,1267.142574093076,1172.15466931877,-189.97580954861223,3
P3,22,S2,c11,VR,0R2V,0,11,666.9812906278306,924.3326188384951,795.6569547331628,-257.3513282106645,3
P3,23,C7,c2,AR,2R0V,0,2,1114.7437839788945,1243.7189898323977,1179.231386905646,-128.9752058535032,1
P3,23,S2,c2,AR,2R0V,0,2,727.2030558671653,901.702500637319,814.4527782522421,-174.49944477015367,1
P3,24,C7,c2,AR,2R0V,0,2,1112.7820259695284,1226.455209115176,1169.6186175423522,-113.67318314564773,2
P3,24,S2,c2,AR,2R0V,0,2,695.8545122722203,890.2092607279116,793.0318865000659,-194.35474845569127,2
P3,25,C7,c2,AR,2R0V,0,2,1075.8899563355556,1248.5022748054037,1162.1961155704796,-172.6123184698481,3
P3,25,S2,c2,AR,2R0V,0,2,670.7258146167601,908.881083694853,789.8034491558066,-238.15526907809294,3
P3,26,C7,c3,AR,1R1V,0,3,1089.9707449628781,1240.045018830603,1165.0078818967406,-150.07427386772497,1
P3,26,S2,c3,AR,1R1V,0,3,684.3404928590729,908.4599666027528,796.4002297309129,-224.11947374367992,1
P3,27,C7,c3,AR,1R1V,0,3,1082.486617945159,1247.2951169305716,1164.8908674378654,-164.8084989854126,2
P3,27,S2,c3,AR,1R1V,0,3,653.5828685035349,904.9590157659294,779.2709421347322,-251.3761472623945,2
P3,28,C7,c3,AR,1R1V,0,3,1079.4214027873513,1245.3436015563739,1162.3825021718626,-165.92219876902254,3
P3,28,S2,c3,AR,1R1V,0,3,672.2307077410827,893.9629605619311,783.096834151507,-221.73225282084843,3
P3,29,C7,c4,AR,1R1V,2,4,1064.8216394054919,1251.0001333553341,1157.910886380413,-186.17849394984228,1
P3,29,S2,c4,AR,1R1V,2,4,645.3209296382921,913.3160223540989,779.3184759961955,-267.9950927158068,1
P3,30,C7,c4,AR,1R1V,2,4,1085.7250169707115,1208.614725916194,1147.1698714434528,-122.88970894548243,2
P3,30,S2,c4,AR,1R1V,2,4,663.0212347922952,854.2985778976849,758.6599063449901,-191.27734310538972,2
P3,31,C7,c4,AR,1R1V,2,4,1071.8794791979035,1265.0890920010395,1168.4842855994716,-193.209612803136,3
P3,31,S2,c4,AR,1R1V,2,4,655.9878511564408,937.8552820590792,796.92156660776,-281.8674309026384,3
P3,32,C7,c9,AR,0R2V,2,9,1073.808787588842,1280.3834080272807,1177.0960978080614,-206.57462043843861,1
P3,32,S2,c9,AR,0R2V,2,9,655.9856160907295,939.8624438529909,797.9240299718601,-283.8768277622613,1
P3,33,C7,c9,AR,0R2V,2,9,1070.0363994314023,1221.0630987909913,1145.549749111197,-151.02669935958897,2
P3,33,S2,c9,AR,0R2V,2,9,634.2206854427543,890.0301877271049,762.1254365849296,-255.80950228435063,2
P3,34,C7,c9,AR,0R2V,2,9,1072.7708235491366,1232.2950589192048,1152.5329412341707,-159.52423537006825,3
P3,34,S2,c9,AR,0R2V,2,9,655.6351759590548,894.3082194830376,774.9716977210462,-238.67304352398287,3
P3,35,C7,c6,AR,2R0V,2,6,1069.854493603706,1252.997226171084,1161.425859887395,-183.14273256737806,1
P3,35,S2,c6,AR,2R0V,2,6,659.3491825737794,892.1832575443783,775.7662200590789,-232.83407497059886,1
P3,36,C7,c6,AR,2R0V,2,6,1067.5681815237128,1199.5009739601394,1133.5345777419261,-131.93279243642655,2
P3,36,S2,c6,AR,2R0V,2,6,625.6295433855777,857.9570140255958,741.7932787055868,-232.32747064001808,2
P3,37,C7,c6,AR,2R0V,2,6,1074.5980047900782,1252.3941383973108,1163.4960715936945,-177.7961336072326,3
P3,37,S2,c6,AR,2R0V,2,6,644.0824826031019,925.5377903737699,784.8101364884359,-281.455307770668,3
